mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
6,48.692433725865229,-196.10714381234121,202.06178499751519,-76.055733346851753,17.740633379031205,-0.98024758533666267,-0.98024758533666212,-4.1077126776687773,-27.096199661428365,1.4911503019158932,-5.4542438684074233,30,0,1.1713426791905077,-5.7740514911328091,0
6.5,65.07210034768849,-98.700368972067295,118.22073032629203,-56.603561320615142,4.8581239631707831,-3.6276475981067424,-3.627647598106742,-6.1695772954322265,-40.697125466555491,1.3459292818524746,-1.1239560313425332,30,0,1.0736914853443185,-1.3961938278506894,0
7,87.802213771769885,-2.8928993373981,87.849858336823146,-1.887093465126497,1.7588632733477094,-11.211332859468882,-11.211332859468882,-0.48109695590857648,-3.1735177693105752,1.1923860886181608,0.85070325150074688,30,0,0.98293496877332898,0.64125213165591521,0
7.5,120.34974714407586,93.919302770249701,152.65941526972003,37.967992029870821,4.0408446058521754,-4.39018164761527,-4.39018164761527,3.6831777071620007,24.295788525896217,1.0557433496364257,-0.90900143403358036,25,0,0.89941359850043934,-1.0653311851695668,0
8,168.74007511436389,193.80262384480656,256.96822752770964,48.95456126517081,7.9978344065548761,-2.1834866989711772,-2.1834866989711763,2.57170002285224,16.964014466574397,0.93371434146404431,-3.0987215916456479,25,0,0.8239245298740443,-3.2085114032356481,0
8.5,243.79560994696593,296.94342992218867,384.2026808903953,50.613422027557192,12.232805770356055,-1.4232737715959267,-1.4232737715959265,1.7531981090755733,11.564831753644123,0.81092553441906512,-4.7262525110601796,25,0,0.75779633774885347,-4.7793817077303915,0
9,364.87642536621962,396.52936444108735,538.86022552428483,47.380512698269484,15.990588178034436,-1.0877948021584256,-1.0877948021584263,1.1889629073434107,7.8428991644305937,0.70302760643612527,-5.8418963639841124,20,0,0.70302760643612527,-5.8418963639841124,0
9.5,561.55214259791319,461.79735402413303,727.04718212781586,39.432471275840456,18.862328542658943,-0.9218417634730367,-0.92184176347303715,0.76047986919035682,5.0164449149771801,0.66250725615713235,-6.5215430051647525,20,0,0.66250725615713235,-6.5215430051647525,0
10,842.58278711941318,399.09525727003711,932.32117723741294,25.344903812653335,20.643240539973377,-0.84218302716357829,-0.84218302716357707,0.39967225770234205,2.6364062298492019,0.64033810309565919,-6.8977289758442675,20,0,0.64033810309565919,-6.8977289758442675,0
10.5,1055.7031809822186,83.062629256937612,1058.9658194271665,4.4987587110039229,21.245062858071826,-0.81829015491570123,-0.8182901549157009,0.064478865716004502,0.42532970450475249,0.64228166556003541,-7.0092109628644375,20,0,0.64228166556003541,-7.0092109628644375,0
11,931.320114422286,-306.54472425937377,980.47275510275927,-18.2189995005273,20.649651137723687,-0.84192116530526984,-0.84192116530527039,-0.27760039176518247,-1.8311688843896892,0.67631789748185966,-6.8629730504620747,20,0,0.67631789748185966,-6.8629730504620747,0
11.5,623.95970728105806,-446.35078548156076,767.17321382479849,-35.578108937675353,18.8923540422145,-0.92037394078903645,-0.92037394078903711,-0.66025971709126607,-4.3553506602259349,0.75323783141792888,-6.4370251020347204,20,0,0.75323783141792888,-6.4370251020347204,0
12,385.11641675324529,-399.83585648442494,555.14265426419263,-46.074285620042225,16.072298036282589,-1.082250211608355,-1.0822502116083552,-1.1297065716996793,-7.4520194637796742,0.90244845865724077,-5.6620115317590214,15,0,0.8870020195104672,-5.6774579709057953,0
12.5,241.34821182785723,-299.65626241785844,384.76334929245104,-51.15144462126645,12.394475332683536,-1.4046274844275577,-1.4046274844275581,-1.7636813028794995,-11.633983307000051,1.2183792809741649,-4.3672534664291405,15,0,1.0942210036242312,-4.491411743779075,0
13,157.63159582488075,-196.59094879519134,251.98357317589594,-51.276479113650332,8.2522334905574706,-2.1154961219114274,-2.115496121911427,-2.7081777870294981,-17.86427917291482,1.6034211627929382,-2.5351955318851749,15,0,1.3915182675812576,-2.7470984270968555,0
13.5,107.85163523864975,-102.53253953271634,148.81161542930309,-43.55171224723847,4.339718322539496,-4.076170175489934,-4.0761701754899322,-4.17823442390831,-27.561390746230192,2.0490158949514079,-0.10613573445025315,15,0,1.7890057114522353,-0.36614591794942575,0
14,77.643555598477647,-18.258767494294634,79.761546602260665,-13.233314628027088,1.691536060539705,-11.803707423878961,-11.803707423878961,-3.8360807198241851,-25.304401076246201,2.5280348537623585,2.2314433178948727,15,0,2.2788270645265229,1.982235528659037,0
14.5,59.398792082839769,57.942118245139206,82.97894653244353,44.288764880763345,2.803465811878513,-6.4814320604198459,-6.4814320604198459,8.016281005847981,52.878759475418043,2.9876501771514001,1.8816123955854569,15,0,2.8218366455004347,1.7157988639344914,0
15,49.034685499965647,128.01259563333545,137.08254820678084,69.040872351631492,8.5675929551830823,-2.0368985224123843,-2.0368985224123843,5.784765071081055,38.15874226369349,3.5933075926862972,-0.6735580506519665,30,0,3.3435013028133129,-0.92336434052495076,0
